145	24	58	93	102	87	25	201	225	45	178	176	34	78
78	24	255	255	255	255	255	201	225	208	178	176	34	78
199	24	255	93	102	87	255	201	225	103	178	176	34	78
187	24	255	93	102	87	255	201	59	13	178	176	34	78
255	255	255	93	255	255	255	255	255	201	178	176	34	78
22	255	58	93	255	87	25	201	165	231	178	176	34	78
15	255	255	93	255	255	255	201	225	189	178	176	34	78
108	24	255	93	255	87	25	201	255	77	178	176	34	78
74	24	255	93	102	87	255	255	255	132	178	176	34	78
125	24	255	255	255	255	255	201	225	99	178	176	34	78
185	24	58	93	102	87	255	201	225	112	178	176	34	78
151	24	58	93	102	87	255	255	255	255	178	176	34	78
12	24	58	93	102	87	25	201	225	255	255	255	255	255
